Date,3MINDIA.NS,AARTIIND.NS,ABB.NS,ABBOTINDIA.NS,ABFRL.NS,ABREL.NS,ACC.NS,ACE.NS,ADANIENT.NS,ADANIGREEN.NS,ADANIPORTS.NS,ADANITRANS.NS,ADVENZYMES.NS,AFFLE.NS,AIAENG.NS,AJANTPHARM.NS,AKZOINDIA.NS,ALEMBICLTD.NS,ALKEM.NS,ALLCARGO.NS,AMBUJACEM.NS
2019-10-21,0.017129543009260836,-0.011747224128660836,0.0018879979735759841,0.234308840964662,-0.06674927533112117,-0.02684426634349696,-0.09685966298082246,-0.07708535781654627,0.10184522194098541,0.25342170636050093,-0.00124061514126297,0.07598678465807836,0.03274162929531686,0.0,-0.026179792108133572,-0.013198005185011909,0.10575253941749298,0.16392832170659316,0.13006697780379212,-0.038895054076213485,-0.09396936242368932
2019-10-28,0.01652813034850337,-0.008160636152426567,-0.029987421721273135,0.14143868431367704,-0.014478006707061841,-0.04951011115012781,-0.1074141625113699,-0.03472708037814682,0.14134042632124924,0.13939404247051332,-0.030191856090970665,0.0976921881180154,0.11190050481450378,0.0,-0.036833013063675625,0.028376332295966755,0.11666942510898282,0.1281406841902633,0.1642946448354928,-0.0008971590260729023,-0.09515772720591963
2019-11-04,0.08097417639911356,-0.05874327231488062,-0.06018472250410895,0.16157922100470107,0.033514469766011315,-0.06938879741212219,-0.07847864475352385,-0.005514179927370262,0.17455473518874884,0.1278088894079539,-0.03713663853699894,0.13260648097689637,0.0731378678743626,0.0,-0.022123281015855912,-0.03853041087675009,0.17709637898726258,0.12130057414815988,0.17263296781927998,0.0013649781527847976,-0.05167290247450889
2019-11-11,0.09506511304283752,-0.03311938307170665,-0.06371915986055633,0.211808920527451,0.08983592541301323,-0.04051267308301949,-0.07791179722656223,-0.00026709752768746105,0.15840261918397694,0.1682853787943024,-0.074959271404985,0.08395902802488107,0.03581757302204365,0.0,-0.009829748621387644,-0.08400859316818766,0.1363781436753103,0.1405478387998132,0.16732132893701548,0.019365955011580845,-0.029020478810180043
2019-11-18,0.09952421613273443,-0.016930063428930504,-0.0007275529806111046,0.2151714049324856,0.08250478205492097,0.02745800319889549,-0.058387455220429256,-0.013810967945745148,0.1774367066869523,0.23078971229203554,-0.03440242279603336,0.08862928566608809,0.07740767621364683,0.0,-0.0003475872624359196,-0.07718724421434395,0.12307094767992696,0.1368953145122027,0.11487105040579472,0.01592218344704705,0.0049750567653338495
2019-11-25,0.0967868903695513,0.005178014635690618,0.017522459533493486,0.16783904299975422,0.17998588097169327,0.05624425226129252,-0.022585364445341084,0.008385487188738014,0.1881815887319874,0.33061051439729194,0.0022731524266530073,0.18165640927646215,0.08993425950198504,-0.053494983996135004,0.06639955342920266,-0.053650356236853144,0.16218636852578397,0.1993143150628083,0.08012439469764884,0.024793962226650906,0.00364213544480852
2019-12-02,0.0317159134955563,-0.13620963391176302,-0.055899055568677684,0.09443114567099356,0.1310946235763858,0.0048425603015782226,-0.08781284415934394,-0.11557196683205724,0.0469083415208028,0.22319393392049847,-0.12149549452783082,0.10963098891427693,0.002734669207565595,-0.08109962843430345,0.01340463835164818,-0.08248310263712058,0.07510012726840601,0.1242648394385439,0.07820873089113148,-0.00015100341339810023,-0.0649470169768793
2019-12-09,0.01731915175210433,-0.15930154540430136,-0.06752496330654598,0.09895786068431486,0.08898801120399205,0.02839800870456091,-0.07405830692193924,-0.08950692229489178,0.056615222239389126,0.21076766549055176,-0.09880799381718862,0.09575052970104106,-0.03705734151655118,-0.09089979918144589,-0.003724126021154759,-0.08446290649595437,0.06514341443763508,0.0644937369956229,-0.022075981185286107,-0.031462663444328846,-0.06648445562688758
2019-12-16,0.05787914100281206,-0.12513248941316554,-0.10090607057610021,0.05269918356715419,0.06238775560128048,0.03609816156751998,-0.02028418447536635,-0.07750565361136938,0.0741330955869622,0.2025183353145687,-0.11987515098532556,0.14203374698550816,-0.001517024325518364,-0.11768123546902218,-0.04828234837248794,-0.0452766319154293,0.034458661529850276,0.05037142508696806,-0.09626996522195855,-0.014206945338801064,-0.030466680165060846
2019-12-23,0.06231447609572567,-0.038003212888436964,-0.04859622335326706,-0.023176724605135864,0.07195857165558088,0.05484661228952124,0.017911129899442328,-0.05998314456802851,0.04048714830916133,0.23389798922125069,-0.1348132621471064,0.0817677405586567,0.05132980102338875,-0.1021306323786089,0.04239688758834117,0.016217915259086505,0.005942048025849565,0.13635904079904862,-0.1254392289661217,0.014805460941428586,0.013620210750039158
2019-12-30,0.008633645196789214,-0.030307825875824944,-0.04041960449665608,-0.0156972871730202,0.09203356112310672,0.06326474471549404,0.04836952009552642,0.04552234868358433,0.04753963228747613,0.31649911980833373,-0.027289446824135446,0.12428391836114037,0.10209304087770107,-0.11406106664412277,0.002287169980938475,0.04639423616248735,0.06598924253646633,0.14777021570693785,-0.017787365748187647,0.07640428721828298,0.053704884503444746
2020-01-06,0.019818430528984635,-0.010159052238009678,-0.024563857843472748,-0.11348410405277745,0.0030188490829746095,0.10332131488967503,0.05443759326260209,0.019676215812302982,0.029975818294609095,0.30402612152365877,-0.013879000217923099,0.08641249026049806,0.09780712419921678,-0.1253119711995245,-0.023049824542234126,0.09808219095411055,0.012819218401187021,0.057379917674597374,0.15630304712307017,0.041413324003958425,0.08480341497051642
2020-01-13,0.08210120226280716,-0.010690492238576392,-0.027686306532169934,-0.10857635770926362,0.03249920084030222,0.14606744122620277,0.07212232978371265,0.07267230391203001,0.07079801722344946,0.20298538088425339,0.0008000137404542111,0.08523054892451308,0.13973147693093335,-0.12511393039556992,0.00045617046609845924,0.18261542434296013,0.06632775570036738,0.0805479535776197,0.13550055198699756,0.123412756628238,0.0881952119701968
2020-01-20,0.10792475278933149,0.014068499124185261,0.023760092895042443,-0.10334879535713441,0.007246196404512247,0.2493927124982848,0.09053787485811937,0.08955043066715138,0.08062013172081647,0.17399438960197053,-0.02669312635478662,0.06686560564827289,0.15505461405026183,-0.15437620486528555,0.0895694381788751,0.26451777472355587,0.05179944448860234,0.0703101520153251,0.07994549021256701,0.1902791928928805,0.0793443712218506
2020-01-27,0.09029999992560751,0.11218970485366661,0.041616554735126585,-0.08407859542790352,-0.011159091651188419,0.20351054136881205,0.019664385510880296,0.07888189563870454,0.07637631047829016,0.1952810869219145,-0.05448470358632539,0.0981899409801427,0.090666124456139,-0.11840370281495041,0.1306260968855863,0.16040027534388882,0.06998838969598202,0.064229514283096,0.07089417542848223,0.14584154981494804,-0.013054725432292802
2020-02-03,0.225239078692764,0.12160537713048059,0.10448939996742054,0.013019546162357025,0.1362453076258207,0.20815301624259677,0.04219689100137082,0.09478658602234334,0.11521609803163757,0.19123680721674116,0.028091646686838816,0.05928804350869537,0.12226716637688027,-0.12558153456799476,0.21292996593453764,0.2948309611924576,0.0906553852811151,0.013544875427971967,0.12266838275710647,0.1404515462211984,0.050158802239114064
2020-02-10,0.1354308490806665,0.1200812302404793,0.045957326440216516,0.057743381741211804,0.17730381396060668,0.20501126008663198,0.04602134429939174,0.07184722987005987,0.16279358755075085,0.19834305130552785,0.03879720783404735,0.07901242126239554,0.09801368228424791,-0.06239412803488343,0.1764731281191094,0.22802782646456862,0.2166305762995843,-0.0072603571970398795,0.25035785137187777,0.16836250581978138,0.10042717865557546
2020-02-17,0.07477532487240811,0.08890508985575517,0.028057252104559876,0.031342807125744304,0.12397535402725625,0.17278125525373825,-0.009679396936092115,0.0915581568598223,0.14104236275057808,0.1713612536593767,0.0500789802555857,0.02088401286788596,0.06866132335828976,-0.020019796927693352,0.19291621307328996,0.22853258185080794,0.18179853047338107,-0.012128337783074955,0.18591919462217615,0.1742396815443193,0.024066867061452186
2020-02-24,0.038746691303128175,0.1069527308952084,0.01763626893804431,0.03078751529610762,0.09492287272647873,0.08510951565690407,-0.08622458106156224,0.08504524413529967,0.03933025613241032,0.09696183209537954,0.01860292109115504,-0.06020364748924847,0.03928638654655443,-0.10340162109880932,0.14169433508395765,0.1394464106596784,0.17583268266859395,-0.16430574968555328,0.1539332708948999,0.12143568522259307,0.013216754429180686
